recipient_condensed,year,aid
Afghanistan,2000,1160241
Afghanistan,2001,10788366
Afghanistan,2002,NA
Afghanistan,2003,NA
Afghanistan,2004,42040200
Afghanistan,2006,1839411
Afghanistan,2007,19556249
Afghanistan,2008,NA
Afghanistan,2009,NA
Afghanistan,2010,20437594
Afghanistan,2011,NA
Afghanistan,2012,NA
Afghanistan,2013,NA
Afghanistan,2014,NA
"Africa, regional",2000,NA
"Africa, regional",2001,NA
"Africa, regional",2002,NA
"Africa, regional",2003,NA
"Africa, regional",2004,NA
"Africa, regional",2005,12177589
"Africa, regional",2006,NA
"Africa, regional",2007,NA
"Africa, regional",2008,NA
"Africa, regional",2009,NA
"Africa, regional",2010,NA
"Africa, regional",2011,NA
"Africa, regional",2012,NA
"Africa, regional",2013,NA
"Africa, regional",2014,NA
Albania,2001,286459810
Albania,2004,2472953
Albania,2005,27105
Albania,2007,2001864
Albania,2008,NA
Albania,2009,NA
Albania,2010,NA
Albania,2011,NA
Albania,2012,NA
Albania,2013,NA
Albania,2014,NA
Algeria,2002,NA
Algeria,2003,NA
Algeria,2008,NA
Algeria,2010,55730345
Algeria,2011,NA
Angola,2000,NA
Angola,2001,NA
Angola,2002,NA
Angola,2003,24236231
Angola,2004,NA
Angola,2005,NA
Angola,2006,NA
Angola,2007,NA
Angola,2008,724114837
Angola,2010,628849044
Angola,2011,NA
Angola,2012,NA
Angola,2013,NA
Angola,2014,NA
Antigua & Barbuda,2007,89514254
Antigua & Barbuda,2010,1304279
Antigua & Barbuda,2011,49949430
Antigua & Barbuda,2012,1073744
Antigua & Barbuda,2013,4923142
Argentina,2006,209692853
Argentina,2011,1664980989
Argentina,2012,276408249
Argentina,2013,86392059
Argentina,2014,2400000000
Armenia,2003,1432141
Armenia,2005,2396938
Armenia,2006,1730192
Armenia,2009,2979833
Armenia,2012,11744070
Armenia,2014,9766525
"Asia, regional",2007,NA
Australia,2013,NA
Azerbaijan,2004,1236476
Azerbaijan,2005,3595408
Azerbaijan,2010,3647324
Azerbaijan,2013,4923142
Bahamas,2009,9906821
Bahamas,2010,73701108
Bahamas,2011,2753112664
Bahamas,2012,41831899
Bahamas,2013,NA
Bahrain,2011,NA
Bahrain,2012,NA
Bahrain,2014,NA
Bangladesh,2000,704566202
Bangladesh,2001,427643574
Bangladesh,2002,NA
Bangladesh,2004,1948970
Bangladesh,2006,NA
Bangladesh,2007,NA
Bangladesh,2008,NA
Bangladesh,2009,NA
Bangladesh,2010,NA
Bangladesh,2011,104677679
Bangladesh,2012,NA
Bangladesh,2013,NA
Bangladesh,2014,NA
Barbados,2000,2204457
Barbados,2006,NA
Barbados,2011,1875879
Barbados,2014,32555
Belarus,2001,2728189
Belarus,2002,2730685
Belarus,2003,4050010
Belarus,2006,NA
Belarus,2007,89085535
Belarus,2008,265385614
Belarus,2009,NA
Belarus,2010,NA
Belarus,2011,389605552
Belarus,2012,1008837156
Belarus,2013,3507216619
Belarus,2014,52700000
Benin,2000,21443105
Benin,2002,NA
Benin,2004,NA
Benin,2005,NA
Benin,2006,NA
Benin,2007,6418107
Benin,2008,NA
Benin,2009,NA
Benin,2010,NA
Benin,2013,NA
Benin,2014,840000
Bolivia,2003,66099
Bolivia,2005,58923815
Bolivia,2006,2207293
Bolivia,2007,NA
Bolivia,2008,NA
Bolivia,2009,NA
Bolivia,2010,NA
Bolivia,2011,NA
Bolivia,2012,241777789
Bolivia,2013,17703770
Bolivia,2014,846250000
Bosnia-Herzegovina,2001,3578474
Bosnia-Herzegovina,2003,4979444
Bosnia-Herzegovina,2011,540060787
Bosnia-Herzegovina,2014,886258139
Botswana,2000,NA
Botswana,2003,53238709
Botswana,2004,103129759
Botswana,2005,NA
Botswana,2006,17554126
Botswana,2007,NA
Botswana,2008,NA
Botswana,2009,NA
Botswana,2010,NA
Botswana,2011,NA
Botswana,2012,NA
Botswana,2014,NA
Brazil,2005,197394782
Brazil,2006,NA
Brazil,2007,940379314
Brazil,2008,NA
Brazil,2009,407129636
Brazil,2010,NA
Brazil,2011,NA
Brazil,2012,NA
Brazil,2013,NA
Brunei,2004,NA
Brunei,2005,NA
Brunei,2007,NA
Brunei,2008,NA
Brunei,2010,NA
Brunei,2011,NA
Brunei,2012,NA
Brunei,2013,NA
Bulgaria,2000,47801918
Bulgaria,2001,46947580
Bulgaria,2005,NA
Bulgaria,2011,16650
Bulgaria,2012,NA
Burundi,2000,NA
Burundi,2001,103949848
Burundi,2002,NA
Burundi,2003,7985806
Burundi,2004,NA
Burundi,2005,NA
Burundi,2006,NA
Burundi,2007,85624374
Burundi,2008,NA
Burundi,2009,NA
Burundi,2010,NA
Burundi,2011,NA
Burundi,2012,NA
Burundi,2013,NA
Burundi,2014,NA
Cambodia,2000,NA
Cambodia,2001,NA
Cambodia,2002,478220849
Cambodia,2003,NA
Cambodia,2004,NA
Cambodia,2005,NA
Cambodia,2006,NA
Cambodia,2007,NA
Cambodia,2008,NA
Cambodia,2009,NA
Cambodia,2010,NA
Cambodia,2011,NA
Cambodia,2012,NA
Cambodia,2013,NA
Cambodia,2014,NA
Cameroon,2000,NA
Cameroon,2001,55758702
Cameroon,2002,NA
Cameroon,2003,NA
Cameroon,2004,NA
Cameroon,2005,NA
Cameroon,2006,NA
Cameroon,2007,NA
Cameroon,2008,NA
Cameroon,2009,1393345103
Cameroon,2010,NA
Cameroon,2011,NA
Cameroon,2012,NA
Cameroon,2013,NA
Cameroon,2014,NA
Cape Verde,2000,NA
Cape Verde,2001,NA
Cape Verde,2002,NA
Cape Verde,2003,NA
Cape Verde,2004,NA
Cape Verde,2005,40599012
Cape Verde,2006,NA
Cape Verde,2007,NA
Cape Verde,2008,NA
Cape Verde,2010,NA
Cape Verde,2012,NA
Cape Verde,2014,NA
"Caribbean, regional",2011,NA
Central African Rep.,2000,NA
Central African Rep.,2002,NA
Central African Rep.,2003,NA
Central African Rep.,2004,NA
Central African Rep.,2005,132539308
Central African Rep.,2006,NA
Central African Rep.,2007,25542752
Central African Rep.,2008,NA
Central African Rep.,2009,NA
Central African Rep.,2010,NA
Central African Rep.,2011,43518203
Chad,2007,NA
Chad,2008,NA
Chad,2009,NA
Chad,2010,NA
Chad,2011,NA
Chad,2012,NA
Chad,2013,NA
Chile,2009,271419758
Chile,2010,3773094
Chile,2011,166498099
Chile,2012,953131891
Chile,2014,NA
Colombia,2005,NA
Colombia,2006,NA
Colombia,2007,NA
Colombia,2008,103832156
Colombia,2009,5634355
Colombia,2010,NA
Colombia,2011,NA
Colombia,2012,NA
Colombia,2013,NA
Colombia,2014,NA
Comoros,2001,5493468
Comoros,2002,90798
Comoros,2003,NA
Comoros,2004,19001217
Comoros,2005,NA
Comoros,2006,NA
Comoros,2007,5869232
Comoros,2008,NA
Comoros,2009,NA
Comoros,2010,NA
Comoros,2012,NA
Comoros,2013,NA
Comoros,2014,NA
"Congo, Dem. Rep.",2000,NA
