aid,title,publication_date,source_name,content,country,publisher,original_topics,other_metadata,mf_authorityvice,mf_authorityvirtue,mf_fairnessvice,mf_fairnessvirtue,mf_harmvice,mf_harmvirtue,mf_ingroupvice,mf_purityvirtue,mf_purityvice,mf_moralitygeneral,mf_ingroupvirtue,year
20190422000943896,News items from Asia-Pacific Desk of Xinhua,2/13/09 12:00 AM,BulkLexisNexis,NA,"Republic of Indonesia, Indonesia|Commonwealth of Australia, Australia|Macau Special Administrative Region, Macao|Bangladesh|New Zealand|Polynesie Francaise, French Polynesia|Republic of India, India|Republic of the Philippines, Philippines|Democratic Socialist Republic of Sri Lanka, Sri Lanka|Federal Democratic Republic of Nepal, Patheka, Nepal|Lao People's Democratic Republic, Laos|Islamic Republic of Pakistan, Pakistan|United States|Socialist Republic of Vietnam, Vietnam|Kingdom of Thailand, Thailand|Kingdom of Cambodia, Cambodia|Hong Kong Special Administrative Region, Hong Kong|Republic of Singapore, Singapore|Union of Burma, Myanmar",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS""}",2,2,0,0,7,3,12,0,0,1,3,2009
20190422000944232,"Xinhua Asia-Pacific news summary at 0600 GMT, Feb. 13",2/13/09 12:00 AM,BulkLexisNexis,NA,"Federal Democratic Republic of Nepal, Patheka, Nepal|Commonwealth of Australia, Australia|Bangladesh|Republic of the Philippines, Philippines",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,1,1,1,0,0,0,1,2009
20190422000756616,News items from Asia-Pacific Desk of Xinhua,2/14/09 12:00 AM,BulkLexisNexis,NA,"Republic of Indonesia, Indonesia|Federal Democratic Republic of Nepal, Patheka, Nepal|Commonwealth of Australia, Australia|Antarctica|Macau Special Administrative Region, Macao|United States|Islamic Republic of Pakistan, Pakistan|Bangladesh|Republic of India, India|Japan|Democratic Socialist Republic of Sri Lanka, Sri Lanka|Kingdom of Cambodia, Cambodia|Hong Kong Special Administrative Region, Hong Kong|Republic of Singapore, Singapore|Union of Burma, Myanmar",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS""}",1,3,0,1,18,2,6,0,0,0,1,2009
20190422000756736,News items from Asia-Pacific Desk of Xinhua,2/14/09 12:00 AM,BulkLexisNexis,NA,"Republic of Indonesia, Indonesia|Federal Democratic Republic of Nepal, Patheka, Nepal|Commonwealth of Australia, Australia|Antarctica|Macau Special Administrative Region, Macao|United States|Islamic Republic of Pakistan, Pakistan|Bangladesh|Republic of India, India|Japan|Democratic Socialist Republic of Sri Lanka, Sri Lanka|Kingdom of Cambodia, Cambodia|Hong Kong Special Administrative Region, Hong Kong|Republic of Singapore, Singapore|Union of Burma, Myanmar",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS""}",1,3,0,1,18,2,6,0,0,0,1,2009
20190422000944512,News items from Asia-Pacific Desk of Xinhua,2/13/09 12:00 AM,BulkLexisNexis,NA,"Republic of Indonesia, Indonesia|Commonwealth of Australia, Australia|Macau Special Administrative Region, Macao|Bangladesh|New Zealand|Polynesie Francaise, French Polynesia|Republic of India, India|Republic of the Philippines, Philippines|Democratic Socialist Republic of Sri Lanka, Sri Lanka|Federal Democratic Republic of Nepal, Patheka, Nepal|Lao People's Democratic Republic, Laos|Islamic Republic of Pakistan, Pakistan|United States|Socialist Republic of Vietnam, Vietnam|Kingdom of Thailand, Thailand|Kingdom of Cambodia, Cambodia|Hong Kong Special Administrative Region, Hong Kong|Republic of Singapore, Singapore|Union of Burma, Myanmar",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS""}",2,2,0,0,7,3,12,0,0,1,3,2009
20190422000944640,"Xinhua Asia-Pacific news summary at 0600 GMT, Feb. 13",2/13/09 12:00 AM,BulkLexisNexis,NA,"Federal Democratic Republic of Nepal, Patheka, Nepal|Commonwealth of Australia, Australia|Bangladesh|Republic of the Philippines, Philippines",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",0,0,0,0,1,1,1,0,0,0,1,2009
20190422000944780,1st LD Another foreign aid worker kidnapped in S. Philippines,2/12/09 12:00 AM,BulkLexisNexis,NA,"Republic of the Philippines, Philippines",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Science \u0026 Technology""}",0,0,0,0,0,2,2,0,0,0,3,2009
20190422000756164,Foreigners not advised to leave S. Philippines amid kidnappings: military,2/15/09 12:00 AM,BulkLexisNexis,NA,NA,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",1,0,0,0,0,2,6,0,0,0,2,2009
20190422000756340,Foreigners not advised to leave S. Philippines amid kidnappings: military,2/15/09 12:00 AM,BulkLexisNexis,NA,NA,Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Political""}",1,0,0,0,0,2,6,0,0,0,2,2009
20190422000155824,"Roundup: Tanzanian economic growth hampered more by inflation, deficits Roundup: Tanzanian economic growth hampered more by inflation, deficits",2/7/09 12:00 AM,BulkLexisNexis,NA,"United Republic of Tanzania, Tanzania",Xinhua General News Service,NA,"{""publication type"":""PUBLICATION-TYPE: Newswire"",""section"":""WORLD NEWS; Economic""}",0,2,0,1,0,0,3,0,1,0,0,2009
